id	binomial_name	registration number	shell_length	shell_width	head_length	head_width	flipper_length_1	flipper_width_1	flipper_length_2	flipper_width_2	flipper_length_3	flipper_width_3	flipper_length_4	flipper_width_4	circle_count	measure_count	shell_crack	timestamp	weight
20438	Caretta caretta	d89af72662f49ece4d09dec75a8b0166	700	381	112	82	356	205	331	185	270	180	273	144	63	3,0		1703159226	87,687
19034	Lepidochelys olivacea	1579c64777de4db1c16e8b7b0d19c45e	341	295	65	48	216	190	229	186	164	182	180	149	0	1,0	1	1689428175	26,949
24689	LEPIDOCHELYS OLIVACEA	bfcec01187569615087e4d777c44985a	408	343	71	70	308	224	285	232	264	179	268	176	0	3,0		1745783111	30,016
17945	Lepidochelys Olivacea	2c159675aa28f0ea566fce2090bf4c82	512	432	98	95	334	317	364	284					3	4,0	1	1677757151	33,917
24543	lepidochelys olivacea	ecd22499761e2ac56a6d8eb765ec566d	408	307	50	54	280	168	269	218	199	165	209	180	0	4,0	1	1744455613	28,511
25045	Lepidochelys olivacea	1b076bdf8f9ed92f370f64ffd28b7dd6	341	254	54	55	250	204	240	217	197	152	185	154	0	1,0		1749366080	27,513
23228	Lepidochelys olivacea	ad587cf0ebf5ac3a337fc55f91b16086	606	526	114	91	489	407	460	316	440	260	326	300	32	2,0		1731882409	40,228
19458	Lepidochelys olivacea	a9d0a18fc14b993b95ea02a314aa4aee	600	551	104	109	411	328	396	338	356	258	321	266	20	3,0		1693572979	38,838
25241	Chelonia mydas	0d05dca974d9f624d9c9f8e38817f827	742	652	118	147	411	386	507	389	414	368	311	325	66	4,0	1	1751228603	56,352
20199	Lepidochelys olivacea	baa40598df8e5120e81c65a847a5a5be	399	336			264	240	288	234	215	161	226	186	0	4,0		1700915750	29,823
21134	ERETMOCHELYS IMBRICATA	5d3402d8d65ae7b65b0cdec178551634	157	85	27	21	82	43	77	40	61	38	66	37	21	4,0		1710541247	20,555
20099	Chelonia mydas	36e7d3b61a0d557e45ad4b39bb2ec512	1336	1318	207	248	845	704	661	768	587	686	661	585	111	2,0	5	1699913950	154,074
19302	lepidochelys olivacea	e81ca7bdba6c086c3f8713e41d0c4e47	502	413	80	81	359	337	372	297	268	242	327	229	0	1,0		1691965948	33,304
20189	Lepidochelys olivacea	c39d29d00eed92ecf36f620956136c4a	365	298	63	62	316	239	235	224	242	158	218	159	0	1,0		1700841084	28,307
21538	Lepidochelys olivacea	4228daa496cdcad5b818b7295f6b4a37	491	415	88	80	316	258	351	214	298	241	233	255	0	4,0		1714592521	33,677
19678	Lepidochelys olivacea	435a15e61ce0fee39439777888f5c9a0	343	268	57	56	228	242	273	194	164	154	219	172	0	2,0		1696043494	27,55
18213	Chelonia mydas	cbb98eb064c1dcefd1a009b21656500f	1010	926	216	156	562	488	529	432	467	434	553	463	76	1,0		1680303901	87,695
24520	Eretmochelys imbricata	74f84091c7c8f84f2dbcc071d6693a6e	743	441	133	80	376	196	335	183	296	184	295	193	71	4,0		1744204242	43,418
24819	Lepidochelys olivacea	18c0811e27274dfd8e34cf400bd42e75	363	264	47	53	282	215	242	162	196	150	206	170	0	4,0	1	1747252924	28,055
18767	Dermochelys coriacea	374d4bc074eb003d6071929fb80629ab	1509	750	227	140	1482	696	1394	768	1240	517	1337	519	6	2,0		1686227627	382,141
20656	Chelonia mydas	0da9da7f4ed73816b8967c7fe87fc4f5	703	606			355	382	411	340	302	355	314	283	62	3,0	1	1705325532	51,182
20839	Chelonia mydas	8c20d754391001ef4cda77701123f4bc	982	940	187	157	518	557	545	463	497	511	541	479	103	2,0		1707227368	92,707
17778	caretta caretta	1c037fe036020e483b356eebb465f901	267	147			163	78	136	70	98	60	98	59	29	1,0	1	1676078785	24,837
18151	Chelonia mydas	17ee6cadc77c0f418dbea1acaa998441	887	813	149	140	578	514	538	472	462	308	408	396	70	4,0		1679804213	75,829
18465	Caretta caretta	3660852c70668e6ea7d2f7204955fb5b	293	150	52	31	151	73	135	75	126	65	129	63	32	3,0	1	1683067058	25,109
18241	Dermochelys coriacea	154017cb9708df183c4984ab345aa53b	1986	1007	344	194	2061	982	2115	931	1652	797	1546	732	45	3,0		1680604267	472,305
22562	Dermochelys coriacea	66d82706f00d9f2801376df468223ad9	1692	776	293	219	1891	800	1637	796	1321	613	1271	772	18			1724942395	422,356
17776	Chelonia mydas	fa8de4ba1d8d1b076dd6a9d0d0dba892	754	653	121	175	508	409	437	412	364	321	364	330	75	3,0	1	1676064213	55,668
20757	Lepidochelys olivacea	70cacb640941a9a05b0e74a2ac320d92	686	556	145	126	528	405	529	376	394	290	421	346	75	2,0		1706418535	45,776
24239	Chelonia mydas	a2c93b50062026e1999626b04830d83a	1203	1048	210	197	701	705	602	629	566	506	479	465	107	3,0		1741658344	120,618
24970	Caretta caretta	b1547d5a981b5ba5c29f86865b8f62df	323	167	55	38	169	97	162	89	116	78	141	73	30			1748679170	31,165
23001	Caretta caretta	c726acb279980011237a8431aa965bed	549	271	84	57	257	115	296	146	222	142	234	140	29	1,0	1	1729447096	59,157
19125	Caretta caretta	be261c84c3ac7ffd4a41bc337357481e	1167	652	202	145	586	321	596	329	541	288	437	235	111	1,0	4	1690322804	195,296
19375	Dermochelys coriacea	16d837a2ae33dfab1a63b15f4edd056c	1366	670	201	157	1288	651	1147	631	975	576	953	533	0	1,0		1692751220	369,243
23476	CARETTA CARETTA	9efe8ea938321faeb1ee38e570f138db	746	429	132	77	449	167	407	212	273	187	314	150	88	1,0	3	1734668291	96,869
25156	chelonia mydas	f315ad418ed2f7bc895a138ac4fe0dde	843	771	176	170	461	489	518	429	387	393	410	375	77	4,0	1	1750447785	70,145
19152	Chelonia mydas	332379b45f278d316956b4a6982ccbe3	922	845	152	174	541	504	576	530	483	419	506	373	59	2,0		1690529259	87,982
22294	Chelonia Mydas	45f8416b3d020ba2282183980f2be260	1113	836	129	205	697	655	652	556	549	498	523	417	81	3,0		1722074449	98,67
19963	Chelonia mydas	6ef907075a5a0de4c1119d3fd65477fd	1316	1086	262	257	721	775	757	743	650	576	634	517	116	3,0		1698680342	146,046
24367	Lepidochelys olivacea	49abf480e677a8eb4528b66f7f9a5291	384	320	59	65	299	209	286	216	219	192	212	164	0	3,0		1742851705	29,605
18640	Chelonia mydas	5ef19dfb9c90849c7b9e4881fd44b04a	928	870	147	182	451	371	648	599	432	379	354	380	58	1,0	1	1684834953	80,064
24840	Dermochelys coriacea	4bdad857ca53e1d0c4e3f081e91e6de9	1375	700	210	123	1423	621	1412	686	1018	441	1041	554	0	2,0		1747506415	367,057
21065	lepidochelys olivacea	e9c22cfc24cbf319d652036145dc155b	461	361	72	70	305	272	329	246	283	236	283	197	0	4,0		1709777730	31,311
17804	Chelonia mydas	c573c5a8176db66987f3d538ec728f72	957	914	187	213	573	486	625	588	477	454	432	471	93	2,0		1676318411	84,173
20033	Lepidochelys olivacea	dd835dc7a261c2ce06e85a4f10ed5d5a	421	352	79	72	331	283	333	225	239	228	316	193	0	1,0	1	1699475362	31,23
17618	CHELONIA MYDAS	ef1008e303162fbeb4178f6e362173df	856	740	149	165	524	486	467	377	475	401	411	411	63	3,0		1674258296	72,19
21409	Lepidochelys olivacea	852f8fc6fbf45e95eab88d35dee952cc	500	433	81	84	337	282	336	253	281	216	256	233	0	3,0		1713299947	33,708
19885	Dermochelys Coriacea	7b0013b7d66ef27363498c82b2ace2b4	1609	873	315	138	1694	937	1718	819	1343	687	1322	634	21	1,0		1697996163	428,011
22160	Caretta caretta	289f93fe01e3813d78b91a2f7a1dafc0	1284	731	172	131	629	397	717	428	406	328	467	228	125	1,0		1720807389	222,204
24820	Caretta caretta	4995d6df9dc85074a58111a9e79765b9	452	224	65	46	253	132	239	104	181	107	159	109	35	4,0		1747255521	44,664
18896	Lepidochelys olivacea	92df7402b88d7adf4bf535739fc17767	436	366	76	69	295	261	315	225	273	203	231	189	0	1,0		1687742458	29,791
